TI.B.6.3.2.1.2.2;RECURSOS DE FORZOSA INVERSIÓN - SALUD:  PÚBLICA
TI.B.6.3.2.1.2.3;RECURSOS DE FORZOSA INVERSIÓN - SALUD: PRESTACIÓN DEL SERVICIO A LA POBLACIÓN POBRE NO AFILIADA
TI.B.6.3.2.1.3;RECURSOS DE FORZOSA INVERSIÓN - ALIMENTACIÓN ESCOLAR
TI.B.6.3.2.1.4;RECURSOS DE FORZOSA INVERSIÓN - RIBEREÑOS
TI.B.6.3.2.1.5;PARTICIPACIÓN PARA AGUA POTABLE Y SANEAMIENTO BÁSICO
TI.B.6.3.2.1.6;RECURSOS DE FORZOSA INVERSIÓN - CRECIMIENTO DE LA ECONOMÍA
TI.B.6.3.2.1.6.1;PRIMERA INFANCIA
TI.B.6.3.2.1.6.2;EDUCACIÓN
TI.B.6.3.2.1.7;RECURSOS DE FORZOSA INVERSIÓN PROPÓSITO GENERAL
TI.B.6.3.2.1.7.1;DEPORTE Y RECREACIÓN
TI.B.6.3.2.1.7.3;CULTURA
TI.B.6.3.2.1.7.5;LIBRE INVERSIÓN MENORES DE 25000 HABITANTES
TI.B.6.3.2.1.7.7;RESTO LIBRE INVERSIÓN
TI.B.6.3.2.2;REGALÍAS Y COMPENSACIONES
TI.B.6.3.2.3;OTROS RECURSOS DE FORZOSA INVERSIÓN DIFERENTES AL SGP (CON DESTINACIÓN ESPECÍFICA)
TI.B.7;VENTA DE ACTIVOS
TI.B.7.1;AL SECTOR PÚBLICO
TI.B.7.1.1;VENTA DE ACCIONES
TI.B.7.1.3;VENTA DE TERRENOS
TI.B.7.1.5;VENTA DE EDIFICIOS
TI.B.7.1.7;OTROS ACTIVOS  (COMO EQUIPOS, MOBILIARIOS, SEMOVIENTES, PATENTES, ETC.)
TI.B.7.2;AL SECTOR PRIVADO
TI.B.7.2.1;VENTA DE ACCIONES
TI.B.7.2.3;VENTA DE TERRENOS
TI.B.7.2.5;VENTA DE EDIFICIOS
TI.B.7.2.7;OTROS ACTIVOS  (COMO EQUIPOS, MOBILIARIOS, SEMOVIENTES, PATENTES, ETC.)
TI.B.8;RENDIMIENTOS POR OPERACIONES FINANCIERAS
TI.B.8.1;PROVENIENTES DE RECURSOS LIBRE DESTINACIÓN
TI.B.8.1.1;SGP PROPÓSITO GENERAL RECURSOS DE LIBRE DESTINACIÓN 42% MUNICIPIOS DE 4, 5 Y 6 CATEGORÍA.
TI.B.8.1.3;INGRESOS CORRIENTES DE LIBRE DESTINACIÓN DIFERENTES A LA PARTICIPACIÓN DE LIBRE DESTINACIÓN PROPÓSITO GENERAL
TI.B.8.2;PROVENIENTES DE RECURSOS CON DESTINACIÓN ESPECIFICA
TI.B.8.2.1;PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA
TI.B.8.2.1.1;PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - EDUCACIÓN
TI.B.8.2.1.2;PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - SALUD
TI.B.8.2.1.2.1;PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - SALUD: RÉGIMEN SUBSIDIADO
TI.B.8.2.1.2.2;PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - SALUD:  PÚBLICA
TI.B.8.2.1.2.3;RECURSOS SGP CON DESTINACIÓN ESPECIFICA - SALUD, SERVICIOS A LA POBLACIÓN POBRE NO AFILIADA
TI.B.8.2.1.3;PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - ALIMENTACIÓN ESCOLAR
TI.B.8.2.1.4;PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - RIBEREÑOS
TI.B.8.2.1.5;PROVENIENTES DE RECURSOS SGP CON DESTINACIÓN ESPECIFICA - AGUA POTABLE Y SANEAMIENTO BÁSICO
TI.B.8.2.1.6;S.G.P. POR CRECIMIENTO DE LA ECONOMÍA
TI.B.8.2.1.6.1;PRIMERA INFANCIA
TI.B.8.2.1.6.2;EDUCACIÓN
TI.B.8.2.1.7;SISTEMA GENERAL FORZOSA INVERSIÓN DE PARTICIPACIÓN PROPÓSITO GENERAL
TI.B.8.2.1.7.1;DEPORTE Y RECREACIÓN
TI.B.8.2.1.7.3;CULTURA
TI.B.8.2.1.7.5;LIBRE INVERSIÓN MENORES DE 25.000 HABITANTES
TI.B.8.2.1.7.7;RESTO LIBRE INVERSIÓN
TI.B.8.2.2;PROVENIENTES DE REGALÍAS Y COMPENSACIONES
TI.B.8.2.3;OTROS RECURSOS DIFERENTES AL SGP CON DESTINACIÓN ESPECÍFICA
TI.B.9;DONACIONES
TI.B.9.1;DE OTRAS ENTIDADES PÚBLICAS
TI.B.9.3;DE ENTIDADES PRIVADAS
TI.B.9.5;DE PERSONAS NATURALES
TI.B.9.7;DEL RESTO DEL MUNDO
VAL;INGRESOS TOTALES
