1;TOTAL GASTOS DE FUNCIONAMIENTO 
A.14.4.4;PRESTACIÓN DIRECTA DEL SERVICIO
A.14.4.4.1;TALENTO HUMANO QUE DESARROLLA FUNCIONES DE CARÁCTER OPERATIVO
A.14.4.4.2;ADQUISICIÓN DE INSUMOS, SUMINISTROS Y DOTACIÓN
A.14.5;ATENCIÓN Y APOYO A MADRES/PADRES CABEZA DE HOGAR  
A.14.5.1;CONSTRUCCIÓN DE INFRAESTRUCTURA
A.14.5.2;ADECUACIÓN DE INFRAESTRUCTURA
A.14.5.3;CONTRATACIÓN DEL SERVICIO
A.14.5.4;PRESTACIÓN DIRECTA DEL SERVICIO
A.14.5.4.1;TALENTO HUMANO QUE DESARROLLA FUNCIONES DE CARÁCTER OPERATIVO
A.14.5.4.2;ADQUISICIÓN DE INSUMOS, SUMINISTROS Y DOTACIÓN
A.14.6;ATENCIÓN Y APOYO A LA POBLACIÓN DESPLAZADA POR LA VIOLENCIA 
A.14.6.1;ACCIONES HUMANITARIAS
A.14.6.2;DESARROLLO ECONÓMICO LOCAL
A.14.6.3;GESTIÓN SOCIAL
A.14.6.4;HÁBITAT
A.14.7;PROGRAMAS DE DISCAPACIDAD ( EXLCUYENDO ACCIONES DE SALUD PÚBLICA)
A.14.7.1;CONSTRUCCIÓN DE INFRAESTRUCTURA
A.14.7.2;ADECUACIÓN DE INFRAESTRUCTURA
A.14.7.3;CONTRATACIÓN DEL SERVICIO
A.14.7.4;PRESTACIÓN DIRECTA DEL SERVICIO
A.14.7.4.1;TALENTO HUMANO QUE DESARROLLA FUNCIONES DE CARÁCTER OPERATIVO
A.14.7.4.2;ADQUISICIÓN DE INSUMOS, SUMINISTROS Y DOTACIÓN
A.14.8;ATENCIÓN Y APOYO A LA POBLACIÓN REINSERTADA
A.14.9;ATENCIÓN Y APOYO A LOS GRUPOS INDÍGENAS
A.15;EQUIPAMIENTO 
A.15.1;PREINVERSIÓN DE INFRAESTRUCTURA
A.15.2;CONSTRUCCIÓN DE DEPENDENCIAS DE LA ADMINISTRACIÓN
A.15.3;MEJORAMIENTO Y MANTENIMIENTO DE DEPENDENCIAS DE LA ADMINISTRACIÓN
A.15.4;CONSTRUCCIÓN DE PLAZAS DE MERCADO, MATADEROS, CEMENTERIOS, PARQUES Y ANDENES Y MOBILIARIOS DEL ESPACIO PÚBLICO
A.15.5;MEJORAMIENTO Y MANTENIMIENTO DE PLAZAS DE MERCADO, MATADEROS, CEMENTERIOS, PARQUES  Y ANDENES Y MOBILIARIOS DEL ESPACIO PÚBLICO
A.15.7;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.15.8;PAGO DE DÉFICIT DE INVERSIÓN EN EQUIPAMIENTO
A.16;DESARROLLO COMUNITARIO
A.16.1;PROGRAMAS DE CAPACITACIÓN, ASESORÍA Y ASISTENCIA TÉCNICA PARA CONSOLIDAR PROCESOS DE PARTICIPACIÓN CIUDADANA Y CONTROL SOCIAL
A.16.2;PROCESOS DE ELECCIÓN DE CIUDADANOS A LOS ESPACIOS DE PARTICIPACIÓN CIUDADANA
A.16.3;CAPACITACIÓN A LA COMUNIDAD SOBRE PARTICIPACIÓN EN LA GESTIÓN PÚBLICA 
A.16.5;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.16.8;PAGO DE DÉFICIT DE INVERSIÓN EN DESARROLLO COMUNITARIO
A.17;FORTALECIMIENTO INSTITUCIONAL
A.17.1;PROCESOS INTEGRALES DE EVALUACIÓN INSTITUCIONAL Y REORGANIZACIÓN ADMINISTRATIVA
A.17.10;ELABORACIÓN Y ACTUALIZACIÓN DEL PLAN DE ORDENAMIENTO TERRITORIAL
A.17.12;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.17.13;PAGO DE DÉFICIT DE INVERSIÓN EN FORTALECIMIENTO INSTITUCIONAL
A.17.2;PROGRAMAS DE CAPACITACIÓN Y ASISTENCIA TÉCNICA ORIENTADOS AL DESARROLLO EFICIENTE DE LAS COMPETENCIAS DE LEY
A.17.3;PAGO DE INDEMNIZACIONES ORIGINADAS EN PROGRAMAS DE SANEAMIENTO FISCAL Y FINANCIERO - LEY 617 DE 2000
A.17.4;PAGO DE DÉFICIT FISCAL, DE PASIVO LABORAL Y PRESTACIONAL EN PROGRAMAS DE SANEAMIENTO FISCAL Y FINANCIERO
A.17.4.1;CAUSADO CON ANTERIORIDAD AL 31 DE DICIEMBRE DE 2000
A.17.4.2;CAUSADO DESPUÉS DEL 31 DE DICIEMBRE DE 2000
A.17.5;FINANCIACIÓN DE ACUERDOS DE RESTRUCTURACIÓN DE PASIVOS
A.17.5.1;PASIVOS LABORALES Y PRESTACIONALES
A.17.5.2;PASIVOS CON ENTIDADES PÚBLICAS Y DE SEGURIDAD SOCIAL
A.17.5.3;PASIVOS CON ENTIDADES FINANCIERAS Y VIGILADAS POR LA SUPERINTENDENCIA
A.17.5.4;DEMÁS ACREEDORES
A.17.5.5;PASIVOS CLASIFICADOS COMO CONTINGENCIAS
A.17.5.6;PASIVOS CLASIFICADOS COMO SALDOS POR DEPURAR
A.17.6;ACTUALIZACIÓN DEL SISBEN
A.17.7;ESTRATIFICACIÓN SOCIOECONÓMICA
A.17.8;ACTUALIZACIÓN CATASTRAL
A.17.9;ELABORACIÓN Y ACTUALIZACIÓN DEL PLAN DE DESARROLLO
A.18;JUSTICIA
A.18.1;PAGO DE INSPECTORES DE POLICÍA
A.18.2;CONTRATACIÓN DE SERVICIOS ESPECIALES DE POLICÍA EN CONVENIO CON LA POLICÍA NACIONAL
A.18.3;PAGO DE COMISARIOS DE FAMILIA, MÉDICOS, PSICÓLOGOS Y TRABAJADORES SOCIALES DE LAS COMISARÍAS DE FAMILIA.
A.18.4;FONDO TERRITORIAL DE SEGURIDAD (LEY 1106 DE 2006)
A.18.4.1;DOTACIÓN Y MATERIAL DE GUERRA
A.18.4.2;RECONSTRUCCIÓN DE CUARTELES Y DE OTRAS INSTALACIONES
A.18.4.3;COMPRA DE EQUIPO DE COMUNICACIÓN, MONTAJE Y OPERACIÓN DE REDES DE INTELIGENCIA
A.18.4.4;RECOMPENSAS A PERSONAS QUE COLABOREN CON LA JUSTICIA Y SEGURIDAD DE LAS MISMAS
A.18.4.5;SERVICIOS PERSONALES, DOTACIÓN Y RACIONES PARA NUEVOS AGENTES Y SOLDADOS 
A.18.4.6;GASTOS DESTINADOS A GENERAR AMBIENTES QUE PROPICIEN LA SEGURIDAD CIUDADANA Y LA PRESERVACIÓN DEL ORDEN PÚBLICO.
A.18.5;DESARROLLO DEL PLAN INTEGRAL DE SEGURIDAD Y CONVIVENCIA CIUDADANA
A.18.6;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.18.7;PAGO DE DÉFICIT DE INVERSIÓN EN JUSTICIA
A.18.8;PLAN DE ACCIÓN DE DERECHOS HUMANOS Y DIH
A.18.9;CONSTRUCCIÓN DE PAZ Y CONVIVENCIA FAMILIAR 
A.19;GASTOS ESPECÍFICOS DE REGALÍAS Y COMPENSACIONES
A.19.1;INTERVENTORIA TÉCNICA DE LOS PROYECTOS QUE SE EJECUTEN CON RECURSOS DE REGALÍAS Y COMPENSACIONES
A.19.4;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003) - INTERVENTORIA TÉCNICA
A.19.5;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003) - OPERACIÓN Y PUESTA EN MARCHA
A.2;SALUD
A.2.1;RÉGIMEN SUBSIDIADO 
A.2.1.1;AFILIACIÓN AL RÉGIMEN SUBSIDIADO - CONTINUIDAD 
A.2.1.2;AFILIACIÓN AL RÉGIMEN SUBSIDIADO - AMPLIACIÓN 
A.2.1.3;0.4% INTERVENTORIA DEL RÉGIMEN SUBSIDIADO
A.2.1.4;0.2% SUPERINTENDENCIA DE SALUD
A.2.1.5;PAGO A LAS IPS CUANDO SEAN OBJETO DE MEDIDA DE GIRO DIRECTO
A.2.1.7;RESERVAS DE INVERSIÓN EN RÉGIMEN SUBSIDIADO - VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.2.1.9;PAGO DE DÉFICIT DE INVERSIÓN EN RÉGIMEN SUBSIDIADO (DE CARÁCTER EXCEPCIONAL)
A.2.2;SALUD PÚBLICA   
A.2.2.1;SALUD INFANTIL 
A.2.2.1.1;PROGRAMA AMPLIADO DE INMUNIZACIONES (PAI)
A.2.2.1.1.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.1.1.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS.
A.2.2.1.1.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.1.2;ATENCIÓN INTEGRAL DE ENFERMEDADES PREVALENTES EN LA INFANCIA (AIEPI)
A.2.2.1.2.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.1.2.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS.
A.2.2.1.2.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.1.3;OTROS PROGRAMAS Y ESTRATEGIAS,PARA LA PROMOCIÓN DE LA SALUD INFANTIL.
A.2.2.1.3.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.1.3.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.1.3.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.10;VIGILANCIA EN SALUD PUBLICA
A.2.2.10.1;TALENTO HUMANO QUE DESARROLLA FUNCIONES DE CARÁCTER OPERATIVO.
A.2.2.10.2;ANALISIS Y PUBLICACIONES.
A.2.2.10.3;INFRAESTRUCTURA EQUIPOS  Y DOTACIÓN PARA FORTALECER EL SISTEMA DE INFORMACIÓN.
A.2.2.12;RESERVAS DE INVERSIÓN EN SALUD PUBLICA VIGENCIA ANTERIOR (LEY 819 DE 2003) 
A.2.2.13;PAGO DE DÉFICIT DE INVERSIÓN EN SALUD PUBLICA
A.2.2.2;SALUD SEXUAL Y REPRODUCTIVA
A.2.2.2.1;SALUD MATERNA
A.2.2.2.1.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.2.1.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS.
A.2.2.2.1.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.2.2;VIH SIDA, E INFECCIONES DE TRANSMISION SEXUAL
A.2.2.2.2.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.2.2.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS.
A.2.2.2.2.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.2.3;SALUD SEXUAL Y REPRODUCTIVA EN ADOLECENTES
A.2.2.2.3.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.2.3.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS.
A.2.2.2.3.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.2.4;OTROS PROGRAMAS Y ESTRATEGIAS,PARA SALUD SEXUAL Y REPRODUCTIVA.
A.2.2.2.4.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.2.4.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.2.4.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.3;SALUD ORAL
A.2.2.3.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.3.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.3.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.4;SALUD MENTAL Y LESIONES VIOLENTAS EVITABLES
A.2.2.4.1;SUSTANCIAS PSICOACTIVAS
A.2.2.4.1.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.4.1.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.4.1.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.4.2;OTROS PROGRAMAS Y ESTRATÈGIAS PARA LA PROMOCIÒN DE LA SALUD MENTAL Y LESIONES VIOLENTAS EVITABLES.
A.2.2.4.2.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.4.2.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.4.2.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.5;LAS ENFERMEDADES TRANSMISIBLES Y LAS ZOONOSIS
A.2.2.5.1;TUBERCULOSIS
A.2.2.5.1.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.5.1.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.5.1.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.5.2;LEPRA
A.2.2.5.2.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.5.2.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.5.2.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.5.3;ENFERMEDADES TRANSMISIBLES POR VECTORES (ETV)
A.2.2.5.3.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.5.3.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.5.3.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.5.4;ZOONOSIS
A.2.2.5.4.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.5.4.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.5.4.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.5.5;OTROS PROGRAMAS Y ESTRATEGIAS,DE LAS ENFERMEDADES TRANSMISIBLES Y LA ZONNOSIS.
A.2.2.5.5.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.5.5.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.5.5.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.6;ENFERMEDADES CRÓNICAS NO TRANSMISIBLES
A.2.2.6.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.6.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.6.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.7;NUTRICIÓN
A.2.2.7.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.7.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.7.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.8;SEGURIDAD SANITARIA Y DEL AMBIENTE
A.2.2.8.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.8.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.8.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.9;LA GESTION PARA EL DESARROLLO OPERATIVO Y FUNCIONAL DEL PNSP
A.2.2.9.1;ACCIONES DE PLANEACIÓN, PRIORIZACIÓN Y GESTIÓN INTERSECTORIAL. 
A.2.2.9.1.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.9.1.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.9.1.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.9.2;MONITOREO Y EVALUACIÓN. 
A.2.2.9.2.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.9.2.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS
A.2.2.9.2.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.2.9.3;CAPACITACIÓN Y ASISTENCIA TÉCNICA.
A.2.2.9.3.1;CONTRATACION, CON LAS EMPRESAS SOCIALES DEL ESTADO.
A.2.2.9.3.2;ADQUSICION DE INSUMOS Y ELEMENTOS, PUBLICACIONES Y EQUIPOS PARA DESARROLLAR PROGRAMAS DE SALUD PUBLICA, SEGÚN COMPETENCIAS,
A.2.2.9.3.3;CONTRATACIÓN CON PERSONAS  JURIDICAS QUE NO SEAN ESES.
A.2.3;PRESTACION DE SERVICIOS A LA POBLACION POBRE EN LO NO CUBIERTO CON SUBSIDIOS A LA DEMANDA 
A.2.3.1;PRESTACION DE SERVICIOS DE SALUD PARA LA POBLACIÓN POBRE NO ASEGURADA
A.2.3.1.1;SERVICIOS CONTRATADOS CON EMPRESAS SOCIALES DEL ESTADO
A.2.3.1.1.1;BAJO NIVEL DE COMPLEJIDAD
A.2.3.1.1.2;MEDIO Y ALTO NIVEL DE COMPLEJIDAD
A.2.3.1.2;ATENCIÓN DE URGENCIAS (SIN CONTRATO) EN EMPRESAS SOCIALES DEL ESTADO
A.2.3.1.2.1;BAJO NIVEL DE COMPLEJIDAD
A.2.3.1.2.2;MEDIO Y ALTO NIVEL DE COMPLEJIDAD
A.2.3.1.3;SERVICIOS CONTRATADOS CON INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD  PRIVADAS O MIXTAS
A.2.3.1.3.1;BAJO NIVEL DE COMPLEJIDAD
A.2.3.1.3.2;MEDIO Y ALTO NIVEL DE COMPLEJIDAD
A.2.3.1.4;ATENCIÓN DE URGENCIAS (SIN CONTRATO)  CON INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD PRIVADAS O MIXTAS
A.2.3.1.4.1;BAJO NIVEL DE COMPLEJIDAD
A.2.3.1.4.2;MEDIO Y ALTO NIVEL DE COMPLEJIDAD
A.2.3.2;PRESTACION DE SERVICIOS DE SALUD A LA POBLACIÓN POBRE AFILIADA AL REGIMEN SUBSIDIADO NO INCLUIDOS EN EL PLAN (NO POS-S)
A.2.3.2.1;SERVICIOS CONTRATADOS CON EMPRESAS SOCIALES DEL ESTADO
A.2.3.2.2;ATENCIÓN DE URGENCIAS (SIN CONTRATO) CON EMPRESAS SOCIALES DEL ESTADO
A.2.3.2.3;SERVICIOS CONTRATADOS CON INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD  PRIVADAS
A.2.3.2.4;ATENCIÓN DE URGENCIAS (SIN CONTRATO)  CON INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD PRIVADAS O MIXTAS
A.2.3.2.5;RECOBROS POR EVENTOS NO INCLUIDOS EN EL POS SUBSIDIADO
A.2.3.5;RESERVAS DE INVERSIÓN EN PRESTACION DE SERVICIOS A LA POBLACION POBRE EN LO NO CUBIERTO CON SUBSIDIOS A LA DEMANDA VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.2.3.6;PAGO DE DÉFICIT DE INVERSIÓN EN SERVICIOS A LA POBLACION POBRE NO ASEGURADA VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.2.3.7;TRANSFERENCIA A LOS DEPARTAMENTOS PARA INVERSIÓN EN PRESTACIÓN DE SERVICIOS A LA POBLACIÓN POBRE EN LO NO CUBIERTO CON SUBSIDIOS A LA DEMANDA
A.2.4;OTROS GASTOS EN SALUD
A.2.4.1;INVESTIGACIÓN EN SALUD
A.2.4.10;INVERSIONES DIRECTAS EN LA RED PUBLICA SEGÚN PLAN BIENAL EN OTROS CONCEPTOS
A.2.4.12;RESERVAS DE INVERSIÓN EN OTROS GASTOS EN SALUD VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.2.4.2;PAGO PASIVO PRESTACIONAL
A.2.4.3;REORGANIZACIÓN DE REDES DE PRESTADORES DE SERVICIOS DE SALUD
A.2.4.5;PAGO DE CARTERA HOSPITALARIA DE VIGENCIAS ANTERIORES 
A.2.4.6;PAGO DE CARTERA A LAS EMPRESAS PROMOTORAS DE SALUD
A.2.4.7;PAGO DE OTRAS DEUDAS QUE NO CORRESPONDEN A CARTERA HOSPITALARIA O INFRAESTRUCTURA
A.2.4.8;INVERSIONES DIRECTAS EN LA RED PUBLICA SEGÚN PLAN BIENAL EN EQUIPOS
A.2.4.9;INVERSIONES DIRECTAS EN LA RED PUBLICA SEGÚN PLAN BIENAL EN INFRAESTRUCTURA
A.3;AGUA POTABLE Y SANEAMIENTO BÁSICO  (SIN INCLUIR PROYECTOS DE VIS)
A.3.1;SERVICIO DE ACUEDUCTO
A.3.1.1;SUBSIDIOS - FONDO DE SOLIDARIDAD Y PREDISTRIBUCIÓN DEL INGRESO 
A.3.1.10;REHABILITACIÓN DE SISTEMAS DE  POTABILIZACIÓN DEL AGUA
A.3.1.11;PROGRAMAS DE MACRO Y MICRO MEDICIÓN
A.3.1.12;PROGRAMAS DE REDUCCIÓN DE AGUA NO CONTABILIZADA
A.3.1.13;EQUIPOS REQUERIDOS PARA LA OPERACIÓN DE LOS SISTEMAS DE ACUEDUCTO
A.3.1.14;SOLUCIONES ALTERNAS DE ACUEDUCTO
A.3.1.15;PLAN DE ORDENAMIENTO Y MANEJO DE CUENCAS (POMCA)
A.3.1.17;PAGO DE PASIVOS LABORALES
A.3.1.19;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.3.1.2;PREINVERSIÓN EN DISEÑO
A.3.1.3;INTERVENTORIAS
A.3.1.4;DISEÑO E IMPLANTACIÓN DE ESQUEMAS ORGANIZACIONALES PARA LA ADMINISTRACIÓN Y OPERACIÓN DE SISTEMAS DE ACUEDUCTO
A.3.1.5;CONSTRUCCIÓN DE SISTEMAS DE ACUEDUCTO  (EXCEPTO OBRAS PARA EL TRATAMIENTO DE AGUA POTABLE)
A.3.1.6;CONSTRUCCIÓN DE SISTEMAS DE POTABILIZACIÓN DEL AGUA
A.3.1.7;AMPLIACIÓN DE SISTEMAS DE ACUEDUCTO 
A.3.1.8;AMPLIACIÓN DE SISTEMAS DE POTABILIZACIÓN DEL AGUA
A.3.1.9;REHABILITACIÓN DE SISTEMAS DE ACUEDUCTO 
A.3.2;SERVICIO DE ALCANTARILLADO
A.3.2.1;SUBSIDIOS - FONDO DE SOLIDARIDAD Y REDISTRIBUCIÓN DEL INGRESO - ALCANTARILLADO
A.3.2.10;AMPLIACIÓN DE SISTEMAS DE ALCANTARILLADO PLUVIAL
A.3.2.11;REHABILITACIÓN DE SISTEMAS DE ALCANTARILLADO SANITARIO
A.3.2.12;REHABILITACIÓN DE SISTEMAS DE TRATAMIENTO DE AGUAS RESIDUALES
A.3.2.13;REHABILITACIÓN DE SISTEMAS DE ALCANTARILLADO PLUVIAL
A.3.2.14;EQUIPOS REQUERIDOS PARA LA OPERACIÓN DE LOS SISTEMAS DE ALCANTARILLADO SANITARIO
A.3.2.15;EQUIPOS REQUERIDOS PARA LA OPERACIÓN DE LOS SISTEMAS DE ALCANTARILLADO PLUVIAL
A.3.2.16;SOLUCIONES ALTERNAS DE ALCANTARILLADO
A.3.2.17;UNIDADES SANITARIAS
A.3.2.18;PLAN DE SANEAMIENTO Y MANEJO DE VERTIMIENTOS (PSMV)
A.3.2.2;PREINVERSIÓN EN DISEÑO
A.3.2.20;PAGO DE PASIVOS LABORALES
A.3.2.22;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.3.2.3;INTERVENTORIAS
A.3.2.4;DISEÑO E IMPLANTACIÓN DE ESQUEMAS ORGANIZACIONALES PARA LA ADMINISTRACIÓN Y OPERACIÓN DEL SISTEMA DE ALCANTARILLADO
A.3.2.5;CONSTRUCCIÓN DE SISTEMAS DE ALCANTARILLADO SANITARIO
A.3.2.6;CONSTRUCCIÓN DE SISTEMAS DE TRATAMIENTO DE AGUAS RESIDUALES
A.3.2.7;CONSTRUCCIÓN DE SISTEMAS DE ALCANTARILLADO PLUVIAL
A.3.2.8;AMPLIACIÓN DE SISTEMAS DE ALCANTARILLADO SANITARIO
A.3.2.9;AMPLIACIÓN DE SISTEMAS DE TRATAMIENTO DE AGUAS RESIDUALES
A.3.3;SERVICIO DE ASEO
A.3.3.1;SUBSIDIOS - FONDO DE SOLIDARIDAD Y REDISTRIBUCIÓN DEL INGRESO - ASEO
A.3.3.11;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.3.3.2;PREINVERSIÓN EN DISEÑO
A.3.3.3;INTERVENTORIAS
